Paragraph,Date
"Authorizing Leadership To Make Appoint- ments- -Agreement: A unanimous-consent agree- ment was reached providing that, notwithstanding the upcoming recess or adjournment of the Senate, the President of the Senate, the President Pro Tem- pore, and the Majority and Minority Leaders be au- thorized to make appointments to commissions, committees, boards, conferences, or interparliamen- tary conferences authorized by law, by concurrent ac- tion of the two Houses, or by order of the Senate. Page S6930","Dec 16, 2014"
"Signing Authority-Agreement: A unanimous- consent agreement was reached providing that dur- ing the adjournment or recess of the Senate from Wednesday, December 17, 2014, through Friday, January 2, 2015, Senators Rockefeller, Cardin, Levin be authorized to sign duly enrolled bills or joint res- olutions. Page S6930","Dec 16, 2014"
"114th Congress-Agreement: A unanimous-con- sent agreement was reached providing that when the Senate adjourns sine die under the provisions of H. Con. Res. 125 and when it convenes at 12 noon, on Tuesday, January 6, 2015, pursuant to P.L. 113–201, following the presentation of the certifi- cates of election and the swearing-in of elected Members, and the required live quorum, the morn- ing hour be deemed expired, the Journal of pro- ceedings be approved to date, and the time for the two Leaders be reserved for their use later in the day. Page S6930 Nominations Confirmed: Senate confirmed the fol- lowing nominations:","Dec 16, 2014"
"Richard J. Engler, of New Jersey, to be a Member of the Chemical Safety and Hazard Investigation Board for a term of five years. Manuel H. Ehrlich, Jr., of New Jersey, to be a Member of the Chemical Safety and Hazard Inves- tigation Board for a term of five years.","Dec 16, 2014"
"Nicholas J. Rasmussen, of Virginia, to be Director of the National Counterterrorism Center, Office of the Director of National Intelligence.","Dec 16, 2014"
"Mark E. Lopes, of Arizona, to be United States Executive Director of the Inter-American Develop- ment Bank for a term of three years. Leigh A. Bradley, of Virginia, to be General Counsel, Department of Veterans Affairs. Mark R. Rosekind, of California, to be Adminis- trator of the National Highway Traffic Safety Ad- ministration.","Dec 16, 2014"
"Helen Tierney, of Virginia, to be Chief Financial Officer, Department of Veterans Affairs. Charles P. Rose, of Illinois, to be a Member of the Board of Trustees of the Morris K. Udall and Stew- art L. Udall Foundation for a term expiring May 26, 2019.","Dec 16, 2014"
"Mark Thomas Nethery, of Kentucky, to be a Member of the Board of Trustees of the Morris K. Udall and Stewart L. Udall Foundation for a term expiring October 6, 2018. Anne J. Udall, of Oregon, to be a Member of the Board of Trustees of the Morris K. Udall and Stew- art L. Udall Foundation for a term expiring October 6, 2016.","Dec 16, 2014"
"D1144 CORRECTION CONGRESSIONAL RECORD-DAILY DIGEST Camilla C. Feibelman, of New Mexico, to be a Member of the Board of Trustees of the Morris K. Udall and Stewart L. Udall Foundation for a term expiring April 15, 2017. Martha L. Minow, of Massachusetts, to be a Mem- ber of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2017.","Dec 16, 2014"
"Charles Norman Wiltse Keckler, of Virginia, to be a Member of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2016.","Dec 16, 2014"
"Gloria Valencia-Weber, of New Mexico, to be a Member of the Board of Directors of the Legal Serv- ices Corporation for a term expiring July 13, 2017.","Dec 16, 2014"
"John Gerson Levi, of Illinois, to be a Member of the Board of Directors of the Legal Services Corpora- tion for a term expiring July 13, 2017.","Dec 16, 2014"
"Robert James Grey, Jr., of Virginia, to be a Mem- ber of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2017.","Dec 16, 2014"
"Thomas Hicks, of Virginia, to be a Member of the Election Assistance Commission for a term expiring December 12, 2017.","Dec 16, 2014"
"Matthew Vincent Masterson, of Ohio, to be a Member of the Election Assistance Commission for a term expiring December 12, 2017. Christy A. McCormick, of Virginia, to be a Mem- ber of the Election Assistance Commission for a term expiring December 12, 2015.","Dec 16, 2014"
"David Rivera, of Tennessee, to be United States Attorney for the Middle District of Tennessee for the term of four years.","Dec 16, 2014"
"Arthur Lee Bentley III, of Florida, to be United States Attorney for the Middle District of Florida for the term of four years.","Dec 16, 2014"
"Isobel Coleman, of New York, to be Representa- tive of the United States of America to the United Nations for U. N. Management and Reform, with the rank of Ambassador.","Dec 16, 2014"
"Isobel Coleman, of New York, as an Alternate Representative of the United States of America to the Sessions of the General Assembly of the United Nations during her tenure of service as Representa- tive of the United States of America to the United Nations for U.N. Management and Reform.","Dec 16, 2014"
"Paige Eve Alexander, of Virginia, to be an Assist- ant Administrator of the United States Agency for International Development.","Dec 16, 2014"
"David J. Berteau, of Maryland, to be an Assistant Secretary of Defense.","Dec 16, 2014"
"Robert M. Scher, of the District of Columbia, to be an Assistant Secretary of Defense.","Dec 16, 2014"
"Jess Lippincott Baily, of Ohio, to be Ambassador to the Republic of Macedonia.","Dec 16, 2014"
"Robert Francis Cekuta, of New York, to be Am- bassador to the Republic of Azerbaijan. Margaret Ann Uyehara, of Ohio, to be Ambas- sador to Montenegro.","Dec 16, 2014"
"December 16, 2014 Richard M. Mills, Jr., of Texas, to be Ambassador to the Republic of Armenia. Michael P. O'Rielly, of New York, to be a Mem- ber of the Federal Communications Commission for a term of five years from July 1, 2014. (Prior to this action, Committee on Commerce, Science, and Transportation was discharged from further consider- ation.)","Dec 16, 2014"
"Laurie I. Mikva, of Illinois, to be a Member of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2016.","Dec 16, 2014"
"Victor B. Maddox, of Kentucky, to be a Member of the Board of Directors of the Legal Services Cor- poration for a term expiring July 13, 2016.","Dec 16, 2014"
"Joseph Pius Pietrzyk, of Ohio, to be a Member of the Board of Directors of the Legal Services Corpora- tion for a term expiring July 13, 2017. James L. Huffman, of Oregon, to be a Member of the Board of Trustees of the Morris K. Udall and Stewart L. Udall Foundation for a term expiring Oc- tober 6, 2020. Pages S6903-04, S6933-34 James Cole, Jr., of New York, to be General Counsel, Department of Education. Page S6904, S6933 Colette Dodson Honorable, of Arkansas, to be a Member of the Federal Energy Regulatory Commis- sion for the remainder of the term expiring June 30, 2017. Pages S6897-98, 6904, S6934 During consideration of this nomination today, Senate also took the following action: By 65 yeas to 28 nays (Vote No. 363), Senate agreed to the motion to close further debate on the nomination. Page S6897","Dec 16, 2014"
"Estevan R. Lopez, of New Mexico, to be Commis- sioner of Reclamation. Page S6905, S6933","Dec 16, 2014"
"A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6904 Marcus Dwayne Jadotte, of Florida, to be an As- sistant Secretary of Commerce. Page S6905, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6904 Jonathan Nicholas Stivers, of the District of Co- lumbia, to be an Assistant Administrator of the United States Agency for International Development. Page S6905, S6933","Dec 16, 2014"
"A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6904 John Charles Cruden, of Virginia, to be an Assist- ant Attorney General. Page S6905, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6904 Christopher Smith, of Texas, to be an Assistant Secretary of Energy (Fossil Energy). Page S6905, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6904","Dec 16, 2014"
"CONGRESSIONAL RECORD-DAILY DIGEST CORRECTION D1145 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Elizabeth K. Dillon, of Virginia, to be United States District Judge for the Western District of Virginia. Pages S6906-08, S6934 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906","Dec 16, 2014"
"December 16, 2014 By 51 yeas to 38 nays (Vote No. EX. 366), Ste- phen R. Bough, of Missouri, to be United States District Judge for the Western District of Missouri. Page S6905-06, S6933","Dec 16, 2014"
"During consideration of this nomination today, Senate also took the following action: By 51 yeas to 38 nays (Vote No. 365), Senate agreed to the motion to close further debate on the nomination. Pages S6906 Jorge Luis Alonso, of Illinois, to be United States District Judge for the Northern District of Illinois. Pages S6906-07, S6933","Dec 16, 2014"
"A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906","Dec 16, 2014"
"Haywood Stirling Gilliam, Jr., of California, to be United States District Judge for the Northern Dis- trict of California. Pages S6906-07, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906","Dec 16, 2014"
"Amit Priyavadan Mehta, of the District of Colum- bia, to be Ünited States District Judge for the Dis- trict of Columbia. Pages S6906-07, S6933","Dec 16, 2014"
"A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Allison Dale Burroughs, of Massachusetts, to be United States District Judge for the District of Mas- sachusetts. Pages S6906-07, S6933","Dec 16, 2014"
"A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906","Dec 16, 2014"
"John Robert Blakey, of Illinois, to be United States District Judge for the Northern District of Il- linois. Pages S6906-07, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Amos L. Mazzant, III, of Texas, to be United States District Judge for the Eastern District of Texas. Pages S6906-07, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Robert Lee Pitman, of Texas, to be United States District Judge for the Western District of Texas.","Dec 16, 2014"
"Pages S6906-08, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Robert William Schroeder III, of Texas, to be United States District Judge for the Eastern District of Texas. Page S6906, S6933 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Joan Marie Azrack, of New York, to be United States District Judge for the Eastern District of New York. Pages S6906-08, S6934","Dec 16, 2014"
"Loretta Copeland Biggs, of North Carolina, to be United States District Judge for the Middle District of North Carolina. Pages S6906-08, S6934 A unanimous-consent agreement was reached pro- viding that the motion to invoke cloture on the nomination, be withdrawn. Page S6906 Nominations Returned to the President: The fol- lowing nominations were returned to the President failing of confirmation under Senate rule XXXI at the time of the sine die adjournment of the 113th Congress: Carlos J. Torres, of Virginia, to be Deputy Direc- tor of the Peace Corps.","Dec 16, 2014"
"Russell C. Deyo, of New Jersey, to be Under Sec- retary for Management, Department of Homeland Security.","Dec 16, 2014"
"Michael P. Botticelli, of the District of Columbia, to be Director of National Drug Control Policy. Daniel Henry Marti, of Virginia, to be Intellectual Property Enforcement Coordinator, Executive Office of the President.","Dec 16, 2014"
"Gilberto de Jesus, of Maryland, to be Chief Coun- sel for Advocacy, Small Business Administration.","Dec 16, 2014"
"Jeanne E. Davidson, of Maryland, to be a Judge of the United States Court of International Trade.","Dec 16, 2014"
"Michele Thoren Bond, of the District of Colum- bia, to be an Assistant Secretary of State (Consular Affairs).","Dec 16, 2014"
"Michael Young, of Pennsylvania, to be a Member of the Federal Mine Safety and Health Review Com- mission for a term of six years expiring August 30, 2020.","Dec 16, 2014"
"Benjamin L. Cardin, of Maryland, to be a Rep- resentative of the United States of America to the Sixty-ninth Session of the General Assembly of the United Nations. Ronald H. Johnson, of Wisconsin, to be a Rep- resentative of the United States of America to the Sixty-ninth Session of the General Assembly of the United Nations.","Dec 16, 2014"
"Carol Leslie Hamilton, of California, to be an Al- ternate Representative of the United States of Amer- ica to the Sixty-ninth Session of the General Assem- bly of the United Nations.","Dec 16, 2014"
"Leslie Berger Kiernan, of Maryland, as an Alter- nate Representative of the United States of America, to the Sixty-ninth Session of the General Assembly of the United Nations.","Dec 16, 2014"
"Francine Berman, of New York, to be a Member of the National Council on the Humanities for a term expiring January 26, 2020.","Dec 16, 2014"
"D1146 Victoria Ann Hughes, of Virginia, to be a Mem- ber of the Board of Directors of the Corporation for National and Community Service for a term expiring October 6, 2016.","Dec 16, 2014"
CONGRESSIONAL RECORD-DAILY DIGEST,"Dec 16, 2014"
"Eric P. Liu, of Washington, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring December 27, 2017.","Dec 16, 2014"
"Deborah Willis, of New York, to be a Member of the National Council on the Humanities for a term expiring January 26, 2020. Dallas P. Tonsager, of South Dakota, to be a Member of the Farm Credit Administration Board, Farm Credit Administration, for a term expiring May 21, 2020.","Dec 16, 2014"
"Mario Cordero, of California, to be a Federal Mari- time Commissioner for the term expiring June 30, 2019.","Dec 16, 2014"
"Tho Dinh-Zarr, of Texas, to be a Member of the National Transportation Safety Board for the remain- der of the term expiring December 31, 2018. Maria Echaveste, of California, to be Ambassador to the United Mexican States.","Dec 16, 2014"
"Brian James Egan, of Maryland, to be Legal Ad- viser of the Department of State. Paul A. Folmsbee, of Oklahoma, to be Ambas- sador to the Republic of Mali. Mary Catherine Phee, of Illinois, to be Ambas- sador to the Republic of South Sudan. Matthew T. McGuire, of the District of Columbia, to be United States Executive Director of the Inter- national Bank for Reconstruction and Development for a term of two years.","Dec 16, 2014"
"Maria Cancian, of Wisconsin, to be Assistant Sec- retary for Family Support, Department of Health and Human Services.","Dec 16, 2014"
"Mark Sobel, of Virginia, to be United States Exec- utive Director of the International Monetary Fund for a term of two years. Victoria Reggie Kennedy, of Massachusetts, to be a Governor of the United States Postal Service for a term expiring December 8, 2016.","Dec 16, 2014"
"December 16, 2014 Roberta S. Jacobson, of Maryland, to be a Member of the Board of Directors of the Inter-American Foundation for a term expiring September 20, 2020. Monica C. Regalbuto, of Illinois, to be an Assist- ant Secretary of Energy (Environmental Manage- ment).","Dec 16, 2014"
"Todd Sunhwae Kim, of the District of Columbia, to be an Associate Judge of the District of Columbia Court of Appeals for the term of fifteen years. Juan Carlos Iturregui, of Maryland, to be a Mem- ber of the Board of Directors of the Inter-American Foundation for a term expiring June 26, 2014. Juan Carlos Iturregui, of Maryland, to be a Mem- ber of the Board of Directors of the Inter-American Foundation for a term expiring June 26, 2020. Roberta S. Jacobson, of Maryland, to be a Member of the Board of Directors of the Inter-American Foundation for a term expiring September 20, 2014.","Dec 16, 2014"
"Ronald Lee Miller, of Kansas, to be United States Marshal for the District of Kansas for the term of four years. Linda Struyk Millsaps, of North Carolina, to be a Member of the Internal Revenue Service Oversight Board for a term expiring September 14, 2018. Dean A. Reuter, of Virginia, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring September 14, 2016.","Dec 16, 2014"
"Steven H. Cohen, of Illinois, to be a Member of the Board of Trustees of the Harry S Truman Schol- arship Foundation for a term expiring December 10, 2019.","Dec 16, 2014"
"Jane Toshiko Nishida, of Maryland, to be an As- sistant Administrator of the Environmental Protec- tion Agency.","Dec 16, 2014"
"Sunil Sabharwal, of California, to be United States Alternate Executive Director of the International Monetary Fund for a term of two years. Nancy B. Firestone, of Virginia, to be a Judge of the United States Court of Federal Claims for a term of fifteen years. Thomas L. Halkowski, of Pennsylvania, to be a Judge of the United States Court of Federal Claims for a term of fifteen years.","Dec 16, 2014"
"Anthony G. Collins, of New York, to be a Mem- ber of the Advisory Board of the Saint Lawrence Sea- way Development Corporation.","Dec 16, 2014"
"Marcia Denise Occomy, of the District of Colum- bia, to be United States Director of the African De- velopment Bank for a term of five years. John Maeda, of Massachusetts, to be a Member of the National Council on the Arts for a term expiring September 3, 2016.","Dec 16, 2014"
"Gentry O. Smith, of North Carolina, to be Direc- tor of the Office of Foreign Missions, and to have the rank of Ambassador during his tenure of service. Robert M. Gordon, of the District of Columbia, to be Assistant Secretary for lanning, Evaluation, and Policy Development, Department of Education. Armando Omar Bonilla, of the District of Colum- bia, to be a Judge of the United States Court of Fed- eral Claims for a term of fifteen years.","Dec 16, 2014"
"Patricia M. McCarthy, of Maryland, to be a Judge of the United States Court of Federal Claims for a term of fifteen years. Jeri Kaylene Somers, of Virginia, to be a Judge of the United States Court of Federal Claims for a term of fifteen years.","Dec 16, 2014"
"December 16, 2014 Jessie Hill Roberson, of Alabama, to be a Member of the Defense Nuclear Facilities Safety Board for a term expiring October 18, 2018. Leslie E. Bains, of New York, to be a Director of the Securities Investor Protection Corporation for a term expiring December 31, 2015.","Dec 16, 2014"
CONGRESSIONAL RECORD DAILY DIGEST,"Dec 16, 2014"
"Robert Michael Simon, of Maryland, to be an As- sociate Director of the Office of Science and Tech- nology Policy. Marc A. Kastner, of Massachusetts, to be Director of the Office of Science, Department of Energy. Jonathan Elkind, of Maryland, to be an Assistant Secretary of Energy (International Affairs). Victoria Marie Baecher Wassmer, of Illinois, to be Chief Financial Officer, Environmental Protection Agency.","Dec 16, 2014"
"Thomas A. Burke, of Maryland, to be an Assistant Administrator of the Environmental Protection Agency.","Dec 16, 2014"
"Kenneth J. Kopocis, of Virginia, to be an Assist- ant Administrator of the Environmental Protection Agency. Janet L. Yellen, of California, to be United States Alternate Governor of the International Monetary Fund for a term of five years.","Dec 16, 2014"
"Carlos Pascual, of the District of Columbia, to be an Assistant Secretary of State (Energy Resources). Catherine Ann Novelli, of Virginia, to be United States Alternate Governor of the European Bank for Reconstruction and Development. George James Tsunis, of New York, to be Ambas- sador to the Kingdom of Norway.","Dec 16, 2014"
"John L. Estrada, of Florida, to be Ambassador to the Republic of Trinidad and Tobago. Michael Keith Yudin, of the District of Columbia, to be Assistant Secretary for Special Education and Rehabilitative Services, Department of Education. Massie Ritsch, of the District of Columbia, to be Assistant Secretary for Communications and Out- reach, Department of Education. Ericka M. Miller, of Virginia, to be Assistant Sec- retary for Postsecondary Education, Department of Education.","Dec 16, 2014"
"Steven M. Wellner, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years.","Dec 16, 2014"
"Sherry Moore Trafford, of the District of Colum- bia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years.","Dec 16, 2014"
"D1147 James C. Miller, III, of Virginia, to be a Governor of the United States Postal Service for the term ex- piring December 8, 2017.","Dec 16, 2014"
"William Ward Nooter, of the District of Colum- bia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years.","Dec 16, 2014"
"Stephen Crawford, of Maryland, to be a Governor of the United States Postal Service for the remainder of the term expiring December 8, 2015. David Michael Bennett, of North Carolina, to be a Governor of the United States Postal Service for a term expiring December 8, 2018. Yvette Roubideaux, of Maryland, to be Director of the Indian Health Service, Department of Health and Human Services, for the term of four years.","Dec 16, 2014"
"Jennifer Prescod May-Parker, of North Carolina, to be United States District Judge for the Eastern District of North Carolina.","Dec 16, 2014"
"Michael P. Boggs, of Georgia, to be United States District Judge for the Northern District of Georgia. Constance B. Tobias, of Maryland, to be Chairman of the Board of Veterans' Appeals for a term of six years. Mark E. Lopes, of Arizona, to be a Member of the Board of Directors of the Inter-American Foundation for a term expiring September 20, 2016. Alfredo J. Balsera, of Florida, to be a Member of the United States Advisory Commission on Public Diplomacy for a term expiring July 1, 2014. Alfredo J. Balsera, of Florida, to be a Member of the United States Advisory Commission on Public Diplomacy for a term expiring July 1, 2017. Linda Thomas-Greenfield, an Assistant Secretary of State (African Affairs), to be a Member of the Board of Directors of the African Development Foundation for the remainder of the term expiring September 27, 2015. Carolyn Watts Colvin, of Maryland, to be Com- missioner of Social Security for the term expiring January 19, 2019.","Dec 16, 2014"
"Christopher A. Hart, of Colorado, to be Chairman of the National Transportation Safety Board for a term of two years. John W. Leslie, Jr., of Connecticut, to be a Mem- ber of the Board of Directors of the African Develop- ment Foundation for a term expiring September 22, 2019.","Dec 16, 2014"
"Stafford Fitzgerald Haney, of New Jersey, to be Ambassador to the Republic of Costa Rica. Alissa M. Starzak, of New York, to be General Counsel of the Department of the Army. Charles C. Adams, Jr., of Maryland, to be Ambas- sador to the Republic of Finland. James L. Huffman, of Oregon, to be a Member of the Board of Trustees of the Morris K. Udall and Stewart L. Udall Foundation for a term expiring Oc- tober 6, 2014. Adri Davin Jayaratne, of Michigan, to be an As- sistant Secretary of Labor.","Dec 16, 2014"
D1148,"Dec 16, 2014"
CONGRESSIONAL RECORD-DAILY DIGEST,"Dec 16, 2014"
"Mickey D. Barnett, of New Mexico, to be a Gov- ernor of the United States Postal Service for a term expiring December 8, 2020.","Dec 16, 2014"
"Jonodev Osceola Chaudhuri, of Arizona, to be Chairman of the National Indian Gaming Commis- sion for the term of three years. Therese W. McMillan, of California, to be Federal Transit Administrator. Willie E. May, of Maryland, to be Under Sec- retary of Commerce for Standards and Technology.","Dec 16, 2014"
"Perry L. Holloway, of South Carolina, to be Am- bassador to the Co-operative Republic of Guyana. Rafael J. Lopez, of Maryland, to be Commissioner on Children, Youth, and Families, Department of Health and Human Services.","Dec 16, 2014"
"Carmen Amalia Corrales, of New Jersey, to be a Member of the Board of Directors of the Overseas Private Investment Corporation for a term expiring December 17, 2015.","Dec 16, 2014"
"Manson K. Brown, of the District of Columbia, to be an Assistant Secretary of Commerce. Brodi L. Fontenot, of Louisiana, to be Chief Fi- nancial Officer, Department of the Treasury. Lourdes Maria Castro Ramirez, of California, to be an Assistant Secretary of Housing and Urban Devel- opment. Andrew LaMont Eanes, of Kansas, to be Deputy Commissioner of Social Security for the term expir- ing January 19, 2019.","Dec 16, 2014"
"Mari Carmen Aponte, of the District of Columbia, to be Permanent Representative of the United States of America to the Organization of American States, with the rank of Ambassador.","Dec 16, 2014"
"Mary Lucille Jordan, of Maryland, to be a Member of the Federal Mine Safety and Health Review Com- mission for a term of six years expiring August 30, 2020.","Dec 16, 2014"
"Ronald Alan Pearlman, of the District of Colum- bia, to be a Member of the Internal Revenue Service Oversight Board for a term expiring September 14, 2015.","Dec 16, 2014"
"Deven J. Parekh, of New York, to be a Member of the Board of Directors of the Overseas Private In- vestment Corporation for a term expiring December 17, 2016.","Dec 16, 2014"
"Todd A. Fisher, of New York, to be a Member of the Board of Directors of the Overseas Private In- vestment Corporation for a term expiring December 17, 2016.","Dec 16, 2014"
"December 16, 2014 Jennifer Ann Haverkamp, of Indiana, to be Assist- ant Secretary of State for Oceans and International Environmental and Scientific Affairs.","Dec 16, 2014"
"Carlos A. Monje, Jr., of Louisiana, to be an Assist- ant Secretary of Transportation. Seth B. Carpenter, of the District of Columbia, to be an Assistant Secretary of the Treasury. Sheila Gwaltney, of California, to be Ambassador to the Kyrgyz Republic.","Dec 16, 2014"
"Nancy Bikoff Pettit, of Virginia, to be Ambas- sador to the Republic of Latvia. Vicki Miles-LaGrange, of Oklahoma, to be a Member of the Board of Trustees of the Harry S Truman Scholarship Foundation for a term expiring December 10, 2015.","Dec 16, 2014"
"Shelly Colleen Lowe, of Arizona, to be a Member of the National Council on the Humanities for a term expiring January 26, 2018. Patricia Nelson Limerick, of Colorado, to be a Member of the National Council on the Humanities for a term expiring January 26, 2018. Martha L. Minow, of Massachusetts, to be a Mem- ber of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2014. Gloria Valencia-Weber, of New Mexico, to be a Member of the Board of Directors of the Legal Serv- ices Corporation for a term expiring July 13, 2014. John Gerson Levi, of Illinois, to be a Member of the Board of Directors of the Legal Services Corpora- tion for a term expiring July 13, 2014. Harry James Franklyn Korrell III, of Washington, to be a Member of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2014.","Dec 16, 2014"
